#       time         integral Re         integral Im
#       r =            20.000000           20.000000
 258.0000000   -1.5212299286e-05   -6.6677230357e-21
 259.0000000   -8.2635628449e-05    8.3927055894e-22
 260.0000000   -1.0628829035e-04    5.9722041340e-21
 261.0000000   -8.8592558482e-05    7.2259564414e-21
 262.0000000   -4.5969156783e-05    3.6190103559e-21
 263.0000000   -1.3498986427e-07   -3.5363384231e-21
 264.0000000    3.0282662213e-05   -4.6907514471e-21
 265.0000000    3.5298959744e-05   -4.5629733573e-21
 266.0000000    1.5568050004e-05   -3.9127339866e-21
 267.0000000   -1.8708807474e-05   -2.1125705904e-21
 268.0000000   -5.1221685492e-05    9.4948847983e-22
 269.0000000   -6.4803266911e-05    2.3983239735e-21
 270.0000000   -4.7812594261e-05    5.4681756313e-21
 271.0000000   -5.0541138720e-08    5.9920504262e-21
 272.0000000    6.4478058174e-05    4.3110695539e-21
 273.0000000    1.2057422459e-04    2.6506352458e-22
 274.0000000    1.4114588165e-04   -6.0725222334e-21
 275.0000000    1.0977160301e-04   -8.8154369185e-21
 276.0000000    3.0593618364e-05   -1.0710950084e-20
 277.0000000   -7.0335381162e-05   -9.2854940749e-21
 278.0000000   -1.5438390175e-04   -1.5771335992e-23
 279.0000000   -1.8682979313e-04    7.1324285494e-21
 280.0000000   -1.5274426407e-04    1.1587269314e-20
 281.0000000   -6.4364747512e-05    9.8318298259e-21
 282.0000000    4.3802079620e-05    3.8532559228e-21
 283.0000000    1.2982953653e-04   -4.2597851335e-21
 284.0000000    1.6217366487e-04   -1.1387530229e-20
 285.0000000    1.3239567991e-04   -1.2988541202e-20
 286.0000000    5.7500859900e-05   -2.5387559626e-21
 287.0000000   -2.8588627213e-05    6.9382351451e-21
 288.0000000   -9.0282739673e-05    1.0908205727e-20
 289.0000000   -1.0551665274e-04    1.0812396116e-20
 290.0000000   -7.4320763302e-05    5.1174073530e-21
 291.0000000   -1.7142628848e-05   -2.2637160018e-21
 292.0000000    3.6091756656e-05   -7.6825655710e-21
 293.0000000    6.0819518039e-05   -1.1244852104e-20
 294.0000000    4.9259321192e-05   -6.3241658481e-21
 295.0000000    1.2783799199e-05   -2.7942075261e-21
 296.0000000   -2.5634836019e-05    5.7254818872e-21
 297.0000000   -4.4496938517e-05    8.0429841303e-21
 298.0000000   -3.5117521988e-05    9.0975910153e-21
 299.0000000   -5.2480926373e-06    2.8358435241e-21
 300.0000000    2.6451787813e-05   -4.3485490593e-21
 301.0000000    4.1420502089e-05   -6.1534659008e-21
 302.0000000    3.1323253358e-05   -6.2017423204e-21
 303.0000000    2.0022975102e-06   -2.5704289472e-21
 304.0000000   -3.0268763239e-05    2.3911230490e-21
 305.0000000   -4.7649302646e-05    4.6366881301e-21
 306.0000000   -3.9907136681e-05    5.5865286346e-21
 307.0000000   -9.4948737257e-06    1.7586501189e-21
 308.0000000    2.9560378354e-05   -3.1504678599e-21
 309.0000000    5.8175215774e-05   -4.8854129847e-21
 310.0000000    6.1145556878e-05   -5.9346065940e-21
 311.0000000    3.4587321221e-05   -1.2561920057e-21
 312.0000000   -1.1485363114e-05    1.0469701650e-21
 313.0000000   -5.6930974612e-05    5.2646522406e-21
 314.0000000   -8.0371746981e-05    5.0276877289e-21
 315.0000000   -6.9413366725e-05    2.4461613130e-21
 316.0000000   -2.7269078846e-05   -2.1649719560e-21
 317.0000000    2.7901654897e-05   -4.0850965869e-21
 318.0000000    7.1211919223e-05   -2.5582924662e-21
 319.0000000    8.3069700895e-05   -3.6468895500e-22
 320.0000000    5.8894061777e-05    8.7854914360e-22
 321.0000000    1.1318104079e-05    1.8922691108e-21
 322.0000000   -3.6420504372e-05    1.1961962943e-21
 323.0000000   -6.2408524221e-05   -6.8078395980e-23
 324.0000000   -5.6906636975e-05   -1.3522246110e-22
 325.0000000   -2.6413841570e-05   -1.2070883920e-21
 326.0000000    1.0889063256e-05    2.0161655670e-21
 327.0000000    3.5400197206e-05    5.5982083110e-22
 328.0000000    3.6242291079e-05    5.2901298597e-22
 329.0000000    1.5952884048e-05   -8.1084575505e-22
 330.0000000   -1.2252460245e-05   -2.1632746219e-21
 331.0000000   -3.2452534421e-05   -1.5033815645e-21
 332.0000000   -3.4463721763e-05   -6.0288233799e-22
 333.0000000   -1.8283953104e-05    2.4702212050e-21
 334.0000000    7.2381393955e-06    3.5581644376e-21
 335.0000000    2.9965757636e-05    3.3675564926e-21
 336.0000000    4.0707303421e-05    1.7203446055e-21
