#       time             L^2_Ham             L^2_Mom
 251.0000000    2.0695078076e-02    4.4173522628e-03
 252.0000000    2.0580104871e-02    4.2239321482e-03
 253.0000000    2.0349681492e-02    4.2514274601e-03
 254.0000000    2.0066419319e-02    4.3664445609e-03
 255.0000000    1.9903471058e-02    4.3419497027e-03
 256.0000000    1.9845159227e-02    4.2173286256e-03
 257.0000000    1.9729280935e-02    4.1743254034e-03
 258.0000000    1.9546373641e-02    4.2036972489e-03
 259.0000000    1.9409807756e-02    4.1699350510e-03
 260.0000000    1.9292493458e-02    4.0962577658e-03
 261.0000000    1.9094923555e-02    4.0746610701e-03
 262.0000000    1.8878160011e-02    4.0384054554e-03
 263.0000000    1.8737149550e-02    3.9281385241e-03
 264.0000000    1.8594248311e-02    3.8684970119e-03
 265.0000000    1.8385789074e-02    3.8977731865e-03
 266.0000000    1.8224717959e-02    3.8413436384e-03
 267.0000000    1.8152393976e-02    3.6763140029e-03
 268.0000000    1.8023053266e-02    3.6074654449e-03
 269.0000000    1.7798624764e-02    3.6521978674e-03
 270.0000000    1.7621231187e-02    3.6195850264e-03
 271.0000000    1.7516632610e-02    3.5125730168e-03
 272.0000000    1.7371189255e-02    3.4664112449e-03
 273.0000000    1.7193205615e-02    3.4352756198e-03
 274.0000000    1.7066540296e-02    3.3452459327e-03
 275.0000000    1.6937498823e-02    3.3165139300e-03
 276.0000000    1.6733777496e-02    3.3969227889e-03
 277.0000000    1.6552073216e-02    3.3979254849e-03
 278.0000000    1.6493060739e-02    3.2318756694e-03
 279.0000000    1.6456531618e-02    3.0863820421e-03
 280.0000000    1.6290901097e-02    3.1337817693e-03
 281.0000000    1.6023652380e-02    3.2463686264e-03
 282.0000000    1.5813465832e-02    3.2200355633e-03
 283.0000000    1.5727167031e-02    3.0515528779e-03
 284.0000000    1.5662480489e-02    2.9275274342e-03
 285.0000000    1.5511686852e-02    2.9690793129e-03
 286.0000000    1.5321397522e-02    3.0395970999e-03
 287.0000000    1.5212395180e-02    2.9775006822e-03
 288.0000000    1.5175867658e-02    2.8465809942e-03
 289.0000000    1.5081202367e-02    2.8126666722e-03
 290.0000000    1.4884460757e-02    2.8492852708e-03
 291.0000000    1.4684522764e-02    2.8108656570e-03
 292.0000000    1.4553575578e-02    2.7044698161e-03
 293.0000000    1.4443920246e-02    2.6542686130e-03
 294.0000000    1.4304188337e-02    2.6685147924e-03
 295.0000000    1.4167398027e-02    2.6401025879e-03
 296.0000000    1.4073846708e-02    2.5424628210e-03
 297.0000000    1.3993215773e-02    2.4626503454e-03
 298.0000000    1.3877016218e-02    2.4607040025e-03
 299.0000000    1.3735534272e-02    2.4807422580e-03
 300.0000000    1.3612583041e-02    2.4373914332e-03
 301.0000000    1.3508872489e-02    2.3343037544e-03
 302.0000000    1.3384307537e-02    2.2694593333e-03
 303.0000000    1.3233732012e-02    2.2928194523e-03
 304.0000000    1.3100780748e-02    2.3113532967e-03
 305.0000000    1.3002954368e-02    2.2429145861e-03
 306.0000000    1.2906060476e-02    2.1582739240e-03
 307.0000000    1.2792203292e-02    2.1590239702e-03
 308.0000000    1.2685333636e-02    2.1862198853e-03
 309.0000000    1.2592907381e-02    2.1390544914e-03
 310.0000000    1.2489221507e-02    2.0601422527e-03
 311.0000000    1.2368458501e-02    2.0429969423e-03
 312.0000000    1.2254718790e-02    2.0534022676e-03
 313.0000000    1.2155709641e-02    2.0144687962e-03
 314.0000000    1.2054609655e-02    1.9558516827e-03
 315.0000000    1.1944065715e-02    1.9403461058e-03
 316.0000000    1.1832764884e-02    1.9381260039e-03
 317.0000000    1.1727480511e-02    1.8939907797e-03
 318.0000000    1.1628835175e-02    1.8332980036e-03
 319.0000000    1.1532289676e-02    1.8143607945e-03
 320.0000000    1.1430398320e-02    1.8269763783e-03
 321.0000000    1.1329768219e-02    1.8125220685e-03
 322.0000000    1.1249781375e-02    1.7539469354e-03
 323.0000000    1.1183957839e-02    1.6977648644e-03
 324.0000000    1.1094284120e-02    1.6915867042e-03
 325.0000000    1.0969058634e-02    1.7140256158e-03
 326.0000000    1.0848620904e-02    1.7030318785e-03
 327.0000000    1.0766756547e-02    1.6431410740e-03
 328.0000000    1.0703366373e-02    1.5890606936e-03
 329.0000000    1.0623780537e-02    1.5899439564e-03
 330.0000000    1.0530547377e-02    1.6147293292e-03
 331.0000000    1.0446379914e-02    1.6012253376e-03
 332.0000000    1.0369732116e-02    1.5404559423e-03
 333.0000000    1.0279138138e-02    1.4842195599e-03
 334.0000000    1.0171886289e-02    1.4808705824e-03
 335.0000000    1.0070647090e-02    1.5075649013e-03
 336.0000000    9.9913187540e-03    1.5000475370e-03
